"id","category","tool_or_paper","version_year","doi_or_url","evidence_quote","matrix_scale","aggregation_class","confidence","notes"
"1","toolkit","Signac GeneActivity() + PBMC / mouse-brain vignette","Signac 1.17.1 (installed); method 2021","10.1038/s41592-021-01282-5 ; https://stuartlab.org/signac/articles/pbmc_vignette","Rd: ""Compute counts per cell in gene body and promoter region."" Source (local Signac 1.17.1): 'counts <- FeatureMatrix(fragments = frags, features = transcripts, ...)' ... 'return(counts)' -- no normalisation. Vignette: ""gene.activities <- GeneActivity(pbmc)""; ""pbmc[['RNA']] <- CreateAssayObject(counts = gene.activities)""; ""pbmc <- NormalizeData(object = pbmc, assay = 'RNA', normalization.method = 'LogNormalize', scale.factor = median(pbmc$nCount_RNA))""; then ""FeaturePlot(object = pbmc, features = c('MS4A1','CD3D',...), max.cutoff = 'q95')""","raw fragment counts (gene body + 2 kb upstream)","log-mean (the slot handed to the user is log-normalised; vignette performs no per-type aggregation itself)","verified from code (local install) + documentation","The vignette never aggregates per cell type -- it plots per-cell values. Any downstream per-cluster mean taken on the resulting 'data' layer by a user script is a mean of logs. Seurat's own AverageExpression/DotPlot would expm1 it first (rows 2-5)."
"2","toolkit","Seurat AverageExpression()","Seurat 5.5.0 (installed); v5 2023","10.1016/j.cell.2021.04.048 ; https://github.com/satijalab/seurat","PseudobulkExpression.Assay (local): 'if (layer == ""data"") {' / 'data.use <- expm1(x = data.use)'. Rd Details: ""If layer is set to 'data', this function assumes that the data has been log normalized and therefore feature values are exponentiated prior to averaging so that averaging is done in non-log space."" Signature default: 'layer = ""data"", method = ""average""'. Startup message: ""As of Seurat v5, we recommend using AggregateExpression to perform pseudo-bulk analysis.""","log-normalised 'data' layer, exponentiated before averaging","linear-CPM-mean","verified from code (local install)","DEPTH-SAFE when 'data' came from NormalizeData(LogNormalize) -- exactly the CPM mean the paper recommends. Note the trap: layer='counts' or 'scale.data' skips the expm1 and gives a raw or z-scaled mean."
"3","toolkit","Seurat AggregateExpression() / PseudobulkExpression(method='aggregate')","Seurat 4.0.0 (introduced) / 5.x","10.1016/j.cell.2021.04.048 ; https://github.com/satijalab/seurat/blob/master/NEWS.md","NEWS, Seurat 4.0.0: ""Add `AggregateExpression()` for summation based pseudobulk calculations"". NEWS, Seurat 5.0.0: ""Add `PseudobulkExpression` to normalize the count data present in a given assay."" Local code: 'if (method == ""aggregate"") { LayerData(object = toRet, layer = ""data"", ...) <- NormalizeData(as.matrix(x = data.return[[1]]), normalization.method = normalization.method, ...) }'","summed counts per group, then NormalizeData","pseudobulk-CPM","verified from code (local install) + documentation","DEPTH-SAFE. This is the second depth-invariant aggregation in the paper's benchmark."
"4","toolkit","Seurat DotPlot()","Seurat 5.5.0 (installed)","10.1016/j.cell.2021.04.048","Local source: 'avg.exp <- apply(X = data.use, MARGIN = 2, FUN = function(x) {' / 'return(mean(x = expm1(x = x)))' / '})' ; 'pct.exp <- apply(X = data.use, MARGIN = 2, FUN = PercentAbove, ...)' ; then for colour: 'if (scale) { data.use <- scale(x = log1p(data.use)) }' else 'data.use <- log1p(x = data.use)'","log-normalised 'data' layer, exponentiated before averaging","linear-CPM-mean (then log1p + z-scaled across groups for colour)","verified from code (local install)","The averaged VALUE is depth-safe; the displayed COLOUR is a per-feature z-score across groups, so absolute level is discarded. NEWS 4.0.2: ""Fix `DotPlot` to use `log1p` when `scale=False`""."
"5","toolkit","Seurat FindMarkers()/FindAllMarkers() + FoldChange()","Seurat 5.5.0 (installed)","10.1016/j.cell.2021.04.048","FindMarkers.Assay signature: 'slot = ""data"", ... test.use = ""wilcox"", fc.slot = ""data""'. FoldChange.Assay: 'log1pdata.mean.fxn <- function(x) { return(log(x = (rowSums(x = expm1(x = x)) + pseudocount.use)/NCOL(x), base = base)) }' and 'new.mean.fxn <- switch(EXPR = slot, data = log1pdata.mean.fxn, scale.data = scaledata.mean.fxn, counts = counts.mean.fxn, log1pdata.mean.fxn)'","log-normalised 'data' layer","linear-CPM-mean (fold-change statistic averages expm1 values)","verified from code (local install)","The Wilcoxon test is rank-based on the log 'data' values (monotone, so the log itself is harmless), but per-cell depth still enters each cell's value. The reported avg_log2FC is a log of a LINEAR mean -- i.e. Seurat already does the right thing here."
"6","toolkit","scanpy sc.tl.rank_genes_groups()","scanpy 1.11.5 (installed); Wolf 2018","10.1186/s13059-017-1382-0 ; https://github.com/scverse/scanpy","Local source _rank_genes_groups.py: 'self.means[group_index], self.vars[group_index] = _get_mean_var(x_mask)' (means taken directly on adata.X); 'foldchanges = (self.expm1_func(mean_group) + 1e-9) / (self.expm1_func(mean_rest) + 1e-9)' ; 'self.stats[group_name, ""logfoldchanges""] = np.log2(foldchanges[global_indices])'. Docstring: ""Note: this is an approximation calculated from mean-log values.""","adata.X, which in the standard workflow is log1p(normalize_total(X))","log-mean","verified from code (local install)","scanpy is explicit that the fold change is 'an approximation calculated from mean-log values'. The per-group summary statistic is the mean of log values -- the failure mode the paper highlights."
"7","toolkit","scanpy sc.pl.dotplot() / rank_genes_groups_dotplot()","scanpy 1.11.5 (installed)","10.1186/s13059-017-1382-0","Local source _dotplot.py: 'dot_color_df = self.obs_tidy.groupby(level=0, observed=True).mean()' (and, when mean_only_expressed=True, 'dot_color_df = (self.obs_tidy.mask(~obs_bool).groupby(level=0, observed=True).mean())'); size from 'obs_bool.groupby(level=0, observed=True).sum() / obs_bool.groupby(level=0, observed=True).count()'","adata.X (log1p-normalised in the standard workflow)","log-mean","verified from code (local install)","No expm1 anywhere -- unlike Seurat's DotPlot. The scanpy dot colour is literally the per-group mean of log values."
"8","toolkit","ArchR addGeneScoreMatrix()","ArchR 1.0.x; Granja 2021","10.1038/s41588-021-00790-6 ; https://github.com/GreenleafLab/ArchR/blob/master/R/MatrixGeneScores.R","Roxygen: ""Each column in the calculated gene score matrix will be normalized to a column sum designated by scaleTo."" Signature: 'scaleTo = 10000'. Code: 'matGS@x <- as.numeric(scaleTo * matGS@x/rep.int(totalGS, Matrix::diff(matGS@p)))'. Manual ch.7: ""This summed accessibility is a 'gene score' and is depth normalized across all genes to a user-defined constant (default of 10,000).""","per-cell linearly normalised to a column sum of 10,000 (CPM-like)","linear-CPM (per cell) -- any subsequent mean is a CPM mean","verified from code + documentation","DEPTH-SAFE by construction. ArchR is the one major toolkit that stores the gene matrix already per-cell normalised, which is why the paper's Discussion says ArchR 'stores gene scores scaled per cell'."
"9","toolkit","ArchR getMarkerFeatures(useMatrix='GeneScoreMatrix')","ArchR 1.0.x","https://github.com/GreenleafLab/ArchR/blob/master/R/MarkerFeatures.R","Signature: 'useMatrix = ""GeneScoreMatrix"", testMethod = ""wilcoxon"", normBy = NULL, scaleTo = 10^4, bias = c(""TSSEnrichment"", ""log10(nFrags)"")'. .MarkersSC: 'if(tolower(useMatrix) %in% c(""tilematrix"",""peakmatrix"")){ normBy <- ""ReadsInTSS"" ... }else{ normFactors <- scaleTo / mColSums }'. Applied as: 'args$mat1 <- Matrix::t(Matrix::t(scMaty[, cellsx, drop = FALSE]) * cellNF)'. FC: 'offset <- 1; log2FC <- log2((m1 + offset) / (m2 + offset))'","per-cell rescaled to scaleTo before testing","linear-CPM-mean","verified from code","DEPTH-SAFE: the per-cell rescale happens inside the marker test, and the log2 is applied to the LINEAR group means (log-of-mean, not mean-of-log). Also matches cells on TSSEnrichment and log10(nFrags) when choosing the null group."
"10","toolkit","ArchR getGroupSE() / plotEmbedding() / plotBrowserTrack()","ArchR 1.0.x","https://github.com/GreenleafLab/ArchR/blob/master/R/GroupExport.R ; .../VisualizeData.R ; .../ArchRBrowser.R","getGroupSE roxygen: ""divideN: A boolean describing whether to divide by the number of cells."" / ""scaleTo: Depth normalize to this value if not NULL."" Signature: 'divideN = TRUE, scaleTo = NULL'. Code: 'if(divideN){ nCells <- table(Groups)[colnames(groupMat)]; groupMat <- t(t(groupMat) / as.vector(nCells)) }' and 'if(!is.null(scaleTo)){ groupMat <- t(t(groupMat) / colSums(groupMat)) * scaleTo }'. plotEmbedding: 'if(is.null(log2Norm) & tolower(colorBy) == ""genescorematrix""){ log2Norm <- TRUE }' then 'plotParamsx$color <- log2(plotParamsx$color + 1)'. plotBrowserTrack roxygen: ""The recommended and default value is 'ReadsInTSS' which simultaneously normalizes tracks based on sequencing depth and sample data quality.""","whatever matrix is requested; scaleTo defaults to NULL","raw mean by default (scaleTo = NULL) for count matrices; pseudobulk-CPM for browser tracks","verified from code","THE TRAP INSIDE ArchR: getGroupSE with useMatrix='PeakMatrix'/'TileMatrix' and default scaleTo=NULL returns a per-group mean of RAW counts. It is safe for GeneScoreMatrix only because that matrix was already per-cell normalised (row 8). plotBrowserTrack, by contrast, normalises by group ReadsInTSS then 'scaleFactors <- 10^4 / groupNormFactors'."
